	kingdom	phylum	class	order	family	genus	species
Otu1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
Otu2	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu3	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
Otu4	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu5	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured Gemmatimonadales bacterium
Otu6	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu7	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
Otu8	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
Otu9	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	Acidobacterium sp. Ac_12_G8
Otu10	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae		
Otu11	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae		
Otu12	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu13	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Ellin6067	
Otu14	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae		
Otu15	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	uncultured		
Otu16	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
Otu17	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	
Otu18	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae		
Otu19	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu20	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured soil bacterium
Otu21	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	
Otu22	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrocosmicus	
Otu23	Bacteria	Acidobacteria	Subgroup 6				
Otu24	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	Ambiguous_taxa
Otu25	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
Otu26	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	KD3-93		
Otu27	Bacteria	Acidobacteria	Holophagae	Subgroup 7			
Otu28	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	
Otu29	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
Otu30	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Steroidobacter	
Otu31	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	TRA3-20		
Otu32	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	HSB OF53-F07	uncultured Chloroflexi bacterium
Otu33	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	
Otu34	Bacteria	Proteobacteria	Deltaproteobacteria				
Otu35	Bacteria	Acidobacteria	Subgroup 6				
Otu36	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured Rubrobacteria bacterium	
Otu37	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	A21b		
Otu38	Bacteria	Acidobacteria	Blastocatellia (Subgroup 4)	Pyrinomonadales	Pyrinomonadaceae	RB41	
Otu39	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	
Otu40	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Caenimonas	
Otu41	Bacteria	Acidobacteria	Subgroup 6				
Otu42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae		
Otu43	Bacteria	Acidobacteria	Subgroup 6				
Otu44	Bacteria	Acidobacteria	Acidobacteriia	Solibacterales	Solibacteraceae (Subgroup 3)	Bryobacter	
Otu45	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured soil bacterium		
