Sample_ID	Rs	NH4	pH	SOC	TN	NO3	Water_content	Temp.	Plot	Date	Location	Ecosystem_type	Lat.	Lon.	Elevation	Samples_per_plot	Cord.	Cond.	v_axis	h_axis
L1_H0	1.84	12.45	7.16	5.6393325	0.1911693	17.375	21.684	16.45	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		0	0
L1_H1	2.33	11.325	6.52	6.9107652	0.2150201	10.59	22.813	16.37	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		0	5
L1_H2	1.15	15.175	6.65	4.2596679	0.3346435	8.73	21.668	16.25	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		0	10
L1_H3	0.54	18.825	6.67	3.9587901	0.2054392	16.79	23.45	16.13	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		0	25
L1_H4	1.79	10.55	6.62	5.3584905	0.2261701	15.535	22.829	15.62	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		0	50
L1_H5	1.49	8.775	6.61	8.7045006	0.1674277	16.415	23.825	16.5	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		0	100
L1_V1	2.01	22.575	6.37	9.2616008	0.4643853	7.455	23.713	16.42	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		5	0
L1_V2	1.66	15.2	6.38	7.017101	0.2156413	16.735	24.789	16.87	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		10	0
L1_V3	1.05	13.975	6.32	3.774663	0.1526914	17.175	24.013	16.5	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		25	0
L1_V4	2.13	9.65	6.42	6.5052919	0.3405525	2.28	23.911	16.31	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		50	0
L1_V5	0.95	8.425	6.77	9.9955899	0.1765589	15.85	24.423	16.53	L1	2019.07.11	"Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province"	Mixed forest	28.27166667	99.257	2810	11	99.257E 28.2716666666667N		100	0
L2_H0	1.63	13.775	6.14	10.506255	0.3783615	16.74	17.4	10.3	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	931	0	0
L2_H1	1.87	19.375	5.99	8.9586991	0.4944468	13.385	17.2	11.7	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	921	0	5
L2_H2	1.74	15.5	5.76	11.1323	0.4520825	7.62	15.8	13	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	854	0	10
L2_H3	1.77	14.925	5.65	11.789683	0.4909543	15.74	16.6	13.4	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	891	0	25
L2_H4	1.38	9.975	5.73	7.7528302	0.3594912	12.32	13.7	12.1	L2	2019.07.13	"Lianba Village, Basu County, Changdu, Tibet Autonomous Region"	Alpine meadow	29.64833333	98.15533333	4245	11	98.1553333333333E 29.6483333333333N	752	0	50
