"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","L1_H0","L1_H1",0.000368424059334999,0.460540848002479,0.23473398787738,0.122664969306145,0.181691770754662
"CbMPDiCbraya","L1_H0","L1_H2",0.00273416588083549,0.394341080574848,0.222933624610547,0.0987925501233744,0.281198578810395
"CbMPDiCbraya","L1_H0","L1_H3",0.00368035709106544,0.395679831306687,0.229675117493675,0.157929616934956,0.213035077173616
"CbMPDiCbraya","L1_H0","L1_H4",0.00275727892263805,0.403880007397595,0.252813197511774,0.0745532696128093,0.265996246555184
"CbMPDiCbraya","L1_H0","L1_H5",0.0145592643881991,0.364702623607765,0.35293289119218,0.0478209722205706,0.219984248591285
"CbMPDiCbraya","L1_H0","L1_V1",0.00210126115335894,0.419014512893848,0.264617537494226,0.106696298639059,0.207570389819508
"CbMPDiCbraya","L1_H0","L1_V2",0.00200545739755006,0.36809538304975,0.329341626262105,0.133913901812176,0.166643631478419
"CbMPDiCbraya","L1_H0","L1_V3",0.00878982240879881,0.361364122702923,0.317731872765087,0.127964819653869,0.184149362469322
"CbMPDiCbraya","L1_H0","L1_V4",0.00627124622172883,0.419724062353571,0.240060506016228,0.060074843937478,0.273869341470995
"CbMPDiCbraya","L1_H0","L1_V5",0.00289235118814093,0.401351006282569,0.230048561705158,0.0786651167845587,0.287042964039573
"CbMPDiCbraya","L1_H0","L10_H0",0.0386094221644007,0.297722247061101,0.375999849859934,0.0545853206929425,0.233083160221622
"CbMPDiCbraya","L1_H0","L10_H1",0.035697917348298,0.27780311363975,0.427743580838598,0.0386618169124068,0.220093571260948
"CbMPDiCbraya","L1_H0","L10_H2",0.032772958040139,0.289763946453648,0.427199252881297,0.0415755477870847,0.208688294837831
"CbMPDiCbraya","L1_H0","L10_H3",0.0252015269663368,0.345423008098968,0.363589378692523,0.0418464886688915,0.223939597573281
"CbMPDiCbraya","L1_H0","L10_H4",0.0401037372687527,0.294600683389322,0.422537697446432,0.0451005641680188,0.197657317727475
"CbMPDiCbraya","L1_H0","L10_H5",0.046200416885351,0.314145115287643,0.385476422188923,0.0388486733064498,0.215329372331634
"CbMPDiCbraya","L1_H0","L10_V1",0.02700142924081,0.3204728679853,0.356392797732763,0.0465691939620362,0.249563711079091
"CbMPDiCbraya","L1_H0","L10_V2",0.0171136071364322,0.342684901345361,0.364038090754046,0.0515515327088658,0.224611868055296
"CbMPDiCbraya","L1_H0","L10_V3",0.0252822302966639,0.323430358977841,0.3934774321524,0.0507746825624811,0.207035296010614
"CbMPDiCbraya","L1_H0","L10_V4",0.0145164175890836,0.363650962222434,0.370522182522465,0.044872325615264,0.206438112050753
"CbMPDiCbraya","L1_H0","L10_V5",0.0265913459766803,0.296188701388192,0.426527423647035,0.0507639722696027,0.19992855671849
"CbMPDiCbraya","L1_H0","L11_H0",0.0146630188546416,0.329154739488074,0.413385132334598,0.0643840553495572,0.178413053973129
"CbMPDiCbraya","L1_H0","L11_H1",0.0124616960973515,0.400618991760276,0.301247498295585,0.0435044488698691,0.242167364976918
