"Method","GroupBasedOn","Group","Process","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43"
"CbMPDiCbraya","Elevation","2810","HeS",7.20249632641282e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124715347128135,0,0,6.11604292417036e-06,0,0.000181849694007719,0,0,0,0,0,0,0,1.00720568553937e-05,0,0
"CbMPDiCbraya","Elevation","2810","HoS",0,0,0.0333331118767838,0.0231046337958572,0.028938102464489,0.000126736471281938,0.00075183961602882,8.11100936669013e-05,0.00243373650492731,0,0.000884824399781247,3.35170284899981e-05,0.00486447003910758,0.110361440824366,4.77506471882477e-05,0.00244269016401156,0.0011875462274228,0.0244116181027023,0.0131257514395153,4.59346607018492e-05,0.0318419698624062,0.0322069931618155,0.0627886428995821,0,0,0.000337292769988669,0.0117538025678008,5.3809322667643e-05,0.00189094859009951,1.65764128073527e-05,5.5342079531807e-06,0.00204741180124688,1.11041938337897e-05,0,2.51302761331296e-05,2.08086381420854e-05,5.41459413589183e-05,0.00573427255334902,0,3.9835516661214e-05,0,0.0544296440292489,0.000225657969723928
"CbMPDiCbraya","Elevation","2810","DL",0,0.0236925191356056,0.00196910803198863,0,0.006003218322743,0,0,0.0190481744123885,0.000156144156720993,0,0.00989521134802052,0.00182543771087131,0,0,0,0.00351746276181684,0.0103539124209269,0.0278154959007533,0.000387343720623424,0,0,0.176316713666145,0.0219353642242549,0,0.00403454321521798,0.0194174278742018,0.0342527846014322,0,0.00725644519221078,0,0,0.00668591783863471,0,0,0.00134614943944597,0.00771323653082559,0,0.0116481214284962,0,0,0,0.0056646350133203,0
"CbMPDiCbraya","Elevation","2810","HD",0.00115813918870198,0.00135736665223712,0.000434511952497524,0,0.000875598211240617,0.000675246119863522,0.00253491311418298,0.000722255111196574,0,0.000917182398324911,0,0.000223644802469009,0,0,0.00211347548481818,0.0040944497438075,0.00223164690753303,0.000343943179720014,1.96438754388119e-05,0.000490739028904467,0.0233135902866806,0.000361611382868827,0,0.00115485765522924,0.000424600712318991,0.00083777184191756,0.00131306314385258,0.000450675964125763,0.000627870338322481,7.32968409731511e-05,0.000291454338568216,0.000350385222044383,0.000327670587897064,0.000118908638761596,0.000258352546317731,0.000172534634840558,0.00191295996149406,0.000389449966122383,0.00575067241332188,0.00196418524142908,0.000695636260559049,0.000171100559908294,0.000997536389508768
"CbMPDiCbraya","Elevation","2810","DR",0.00188487652701084,0.00457086851143724,0.00184943514588763,0.00054650590879339,0.00184014753091092,0,0.00761670844891179,0.00212903590093168,0.000989140365096374,0.000239899507381118,0.000140216633760841,8.25549909331237e-05,0.00154082542771121,0,0,0.000802988184471187,0.00337132685959471,0.0104828358857009,0.000485192989270841,0.000909041073764768,0,0.0113195700300231,0,0,0.00325376453084766,0.00503856579067712,0.0176882467168087,0.00105191347293786,0.00116599453583016,0.000804563445974462,0,0.000742632269804168,0.000307716518186458,0.000917203898195104,0.000559746962998552,0.002517463024205,0.00170436281889952,0.00142767563429145,0,0,4.92147249033419e-05,0.00058992600049617,0.000240358913390097
"CbMPDiCbraya","Elevation","1563","HeS",0,0,0,0,0.000350752415088996,0,0,0,0,0.000110893779726962,0,0.00135049573486248,0,0,0,0,0,0,0.000187978313103113,0,0,0,0,0,0,0,0,0,0,0,0,0.000622196966392146,0,0.000143333183639593,3.17454944319945e-05,0,0,0.00102497775951813,0,0,0.000707316100169972,0.000114398141025083,0
"CbMPDiCbraya","Elevation","1563","HoS",0,0.0100085007295262,0.000393275141685363,0.00736937539985131,0,0.0160673753836838,0.0216819973424665,0.000181802896363637,0.00114936268770478,7.84007356896706e-06,1.00911139167109e-05,0.000650831562758884,0.000747290231731657,0.000467843626501193,0.00151287632638141,0,0,0.00196216919423543,0.000207322298696635,3.46508077097951e-05,0.0872900206283184,0,0.00083659096630624,0.000185660646600006,0.000112096181095172,0,0.193267793804324,0.000285040860462674,0.00162812626765613,0.00033969599027437,0.00254273700776708,0,9.33711096629103e-06,0.000144939378582435,0,0.000106929415521692,0.00281995908262139,0.0152494674144086,0.00549035739463202,0.0006775799154458,0.000752698344853806,9.29995871764211e-05,0
"CbMPDiCbraya","Elevation","1563","DL",0.000676132138169105,0.00971231502862037,0,0.00330050400642745,0.000354726449871938,0.0215599666101167,0.00112308117968323,0.00520521898998399,0.00326341082342055,0,0,0.0042604425561851,0,0,0.0582813512217793,0.0413546967533929,0.0208959488455047,0,0,0,0.123273041570717,0,0,0,0,0.0101930663798071,0.052364290742831,0.00469353096214217,0.000269814392275658,0,0.000229324904863926,0,0,0.000374324718383657,0,0,0.0144230044200639,0.0238429996999064,0,0.000479833872696455,0.00271038845661268,0,0.000426737234230178
"CbMPDiCbraya","Elevation","1563","HD",0.00122113389825187,0.000929626935725036,0.00728414237018429,0,0.00432013461264827,0.00141255588048512,0,0,0.000321115998202809,0.000376371018697906,3.85098621301421e-05,0.000123495574414769,0.00193757259209725,0.00330613365077899,0.00277065949140879,0.00165898070445983,0.0012553069993536,0.00069233116301342,0.000367721725571895,0.000615610459788996,0.00770206670533241,0.00237759705168352,0.00075390772207203,0.0015346636130833,0.000920898680072282,0.00211456258250106,0.000194061534025128,0.00013954635406232,0.000683575432621138,1.66944050507099e-05,5.35050039451216e-05,0.000974961184686601,0.000381259652281125,9.09795674184069e-05,0.000463813980560703,0.000254059221199795,0.000943892252193225,0,0.00153546300047228,0.00186654812713657,0.000267326387608979,0.00104168912695335,0.000424793130140475
"CbMPDiCbraya","Elevation","1563","DR",0.00559923721499325,0.00476403697056379,0.0040943287342672,0.00420828557501275,0.00269468055340383,0.00175147780734269,0.00400380828161359,0.00657975007572534,0.000179035366752844,0,7.52332588303268e-05,0.000733330720893117,0.00423900081934077,0.00266102039354762,0.00829659196903784,0.00549351051526108,0.00357655404557608,0.0027120047556721,0.00209933770687464,0.000199709366814773,0.066598457590965,0.00174600010593144,0,0.00389631743844503,0,0,0.00453356102107006,0.00143541003601628,0.00219480051799959,0.00157675422007463,0.00153274737064385,0.00236761870797855,1.64851704232362e-05,0.00138125483775253,0.000282182224095501,0.000813816245973064,0.000889232944205564,0.00167888214372955,0.000769597359237936,0.00230383461778523,0.00144824603341145,0,0.00500972497098571
"CbMPDiCbraya","Elevation","1090","HeS",0,0,0.0041535740921684,0,0.000442534980282668,0,0,0,0,1.89742298552159e-05,0,0,0,0,0.000286818461222221,0.0241539335259141,0.00171980782060735,1.32775909712327e-05,0.00357099166874201,0,0,0,0.000288161481111725,0,0.00724188973213288,0,0,0.00206081314823235,0.00106030315886226,0,0,3.84561039702386e-05,0,0.00709958370424606,0,0,0,0.0155946424830072,0,0,9.98835837250587e-05,3.35639377463507e-05,0.00224513103556305
"CbMPDiCbraya","Elevation","1090","HoS",0.000838741678009979,0.00614040239946116,0,0,0,0.077641389057475,0.0288736855129647,0.000102917608060734,0.000859470442784888,4.52354897999067e-06,1.08056713933342e-05,0,0.00255186689291129,0.000315737003057454,0.0366181191110492,0,0,1.40571149051975e-05,0.00689937558447584,0.000621049853004807,0.0518437519932411,0,2.75045459567933e-05,0.00511271439692721,0,0,0.00216862809056613,7.24312178213541e-05,0.00289141141176588,0.00124578937832828,0.00634822664234312,0,2.2398987565762e-06,0.00612408676022142,0,0.000403063109305192,0.000941635156326304,0.00686110267550481,0.00140407644442632,0.0118247574316521,0,0.000127171145331692,0
