"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.kingdom","TopTaxon.phylum","TopTaxon.class","TopTaxon.order","TopTaxon.family","TopTaxon.genus","TopTaxon.species","TopTaxon.Confidence","kingdom.maxNamed","kingdom.maxNamed.Percent","phylum.maxNamed","phylum.maxNamed.Percent","class.maxNamed","class.maxNamed.Percent","order.maxNamed","order.maxNamed.Percent","family.maxNamed","family.maxNamed.Percent","genus.maxNamed","genus.maxNamed.Percent","species.maxNamed","species.maxNamed.Percent","Confidence.maxNamed","Confidence.maxNamed.Percent"
"Bin1",0.0124444828914051,"Zotu49",0.229584502299315,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_Cladosporiaceae","_Cladosporium","_Cladosporium_perangustum","0.7365575","Fungi",1,"_Ascomycota",0.981564014866941,"_Dothideomycetes",0.575993994006214,"_Capnodiales",0.561976656689856,"_Cladosporiaceae",0.530949532680076,"_Cladosporium",0.431214643653889,"_Cladosporium_perangustum",0.43042044752712,"0.7365575",0.229584502299315
"Bin2",0.0223960891437414,"Zotu84",0.0794727511325739,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Nectriaceae","_Ilyonectria","_Ilyonectria_mors-panacis","0.7124448","Fungi",1,"_Ascomycota",0.930191771776636,"_Sordariomycetes",0.758599798403894,"_Hypocreales",0.65190404400115,"_Nectriaceae",0.293077187569773,"",0.287462730112463,"",0.304153835029327,"0.7124448",0.0794727511325739
"Bin3",0.028896453468541,"Zotu60",0.0844911939645521,"Fungi","_Ascomycota","_Eurotiomycetes","_Chaetothyriales","_Herpotrichiellaceae","_Exophiala","_Exophiala_radicis","0.9998950","Fungi",1,"_Ascomycota",0.987402721403329,"_Eurotiomycetes",0.886550761101829,"_Chaetothyriales",0.886550761101829,"_Trichomeriaceae",0.574258949894269,"_Knufia",0.571583960840747,"",0.299445755673417,"0.9998950",0.0844911939645521
"Bin4",0.0118587217775491,"Zotu107",0.166697732661184,"Fungi","_Ascomycota","_Eurotiomycetes","_Chaetothyriales","","","","0.7888110","Fungi",1,"_Ascomycota",0.905644028520718,"_Eurotiomycetes",0.805368494677256,"_Chaetothyriales",0.805368494677256,"",0.662051145822409,"",0.66262117560403,"",0.66262117560403,"0.7888110",0.166697732661184
"Bin5",0.0220101894729193,"Zotu73",0.0958049444053494,"Fungi","_Ascomycota","_Eurotiomycetes","_Chaetothyriales","_Herpotrichiellaceae","_Cladophialophora","_unidentified","0.9497174","Fungi",1,"_Ascomycota",0.998596222366478,"_Eurotiomycetes",0.918668619036278,"_Chaetothyriales",0.918668619036278,"_Herpotrichiellaceae",0.816556624975646,"_Cladophialophora",0.697969991311437,"_unidentified",0.623464689909576,"0.9497174",0.0958049444053494
"Bin6",0.0220025065626826,"Zotu44",0.145280042217889,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Chaetomiaceae","_Chaetomium","_unidentified","0.9165722","Fungi",1,"_Ascomycota",0.999012310892533,"_Sordariomycetes",0.932004417108722,"_Sordariales",0.913233894884815,"_Chaetomiaceae",0.627766644585798,"",0.312915582915516,"",0.317950368359909,"0.9165722",0.145280042217889
"Bin7",0.0390243347270515,"Zotu3",0.568740557951625,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Nectriaceae","_Gibberella","_Gibberella_acuminata","0.9958584","Fungi",1,"_Ascomycota",1,"_Sordariomycetes",0.997211557527852,"_Hypocreales",0.969789033694163,"_Nectriaceae",0.969464665515466,"_Gibberella",0.569437892409936,"_Gibberella_acuminata",0.569437892409936,"0.9958584",0.568740557951625
"Bin8",0.0103408696217425,"Zotu38",0.303994333965562,"Fungi","_Ascomycota","_Sordariomycetes","_Xylariales","_Xylariales_fam_Incertae_sedis","_Castanediella","","0.9819109","Fungi",1,"_Ascomycota",1,"_Sordariomycetes",1,"_Hypocreales",0.460800099136481,"_Hypocreaceae",0.387214683851741,"_Trichoderma",0.387214683851741,"",0.669831537414188,"0.9819109",0.303994333965562
"Bin9",0.00591410297519515,"Zotu365",0.086245058280478,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cercophora","_Cercophora_mirabilis","0.9999739","Fungi",1,"_Ascomycota",0.93718949444419,"_Sordariomycetes",0.526128460666277,"_Sordariales",0.416440447708846,"_Lasiosphaeriaceae",0.370340183738399,"_Cercophora",0.370340183738399,"",0.385321829385569,"0.9999739",0.086245058280478
"Bin10",0.0110364542669451,"Zotu76",0.201378349263168,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8858070","Fungi",1,"_Ascomycota",1,"_Dothideomycetes",0.97057042993672,"_Capnodiales",0.97057042993672,"_unidentified",0.445583103444497,"_unidentified",0.452251748895286,"_unidentified",0.582487495753147,"0.8858070",0.201378349263168
"Bin11",0.00309916486953601,"Zotu487",0.115370663149718,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_Extremaceae","_unidentified","_unidentified","0.7783614","Fungi",1,"_Ascomycota",1,"_Dothideomycetes",0.99020450933627,"_Capnodiales",0.99020450933627,"_unidentified",0.610070699944167,"_unidentified",0.835497445219803,"_unidentified",0.876627087272394,"0.7783614",0.115370663149718
"Bin12",0.00529988204428683,"Zotu312",0.106494376461676,"Fungi","_Ascomycota","_Dothideomycetes","_Dothideales","_Aureobasidiaceae","_Kabatiella","_unidentified","0.9738463","Fungi",1,"_Ascomycota",1,"_Sordariomycetes",0.893505623538324,"_Sordariales",0.68253788728655,"_Lasiosphaeriaceae",0.404424293034933,"",0.325573671353437,"",0.438885081202462,"0.9738463",0.106494376461676
"Bin13",0.0198970841305231,"Zotu25",0.240118279720356,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Stachybotryaceae","","","0.9999997","Fungi",1,"_Ascomycota",0.930194475700949,"_Sordariomycetes",0.81646609481646,"_Hypocreales",0.63865787142298,"_Stachybotryaceae",0.37105380394262,"",0.488831905896197,"",0.543403714996938,"0.9999997",0.258712453087526
"Bin14",0.0382060110463588,"Zotu12",0.220693033609018,"Fungi","_Ascomycota","_Eurotiomycetes","_Eurotiales","_Aspergillaceae","_Penicillium","","0.9990211","Fungi",1,"_Ascomycota",0.894882916809949,"_Eurotiomycetes",0.892380141338217,"_Eurotiales",0.892380141338217,"_Aspergillaceae",0.892028729414641,"_Penicillium",0.831182410871876,"",0.618284367806037,"0.9990211",0.220693033609018
"Bin15",0.047682477826782,"Zotu45",0.0536478259602343,"Fungi","_Ascomycota","_Archaeorhizomycetes","_Archaeorhizomycetales","_Archaeorhizomycetaceae","_Archaeorhizomyces","_unidentified","0.9709996","Fungi",1,"_Ascomycota",0.921046690906903,"_Archaeorhizomycetes",0.846455372120743,"_Archaeorhizomycetales",0.839768769734657,"_Archaeorhizomycetaceae",0.839768769734657,"_Archaeorhizomyces",0.839768769734657,"_unidentified",0.851823147724713,"1.0000000",0.0693562269503535
"Bin16",0.0309528787177932,"Zotu26",0.144038917041186,"Fungi","_Basidiomycota","_Tremellomycetes","_Filobasidiales","_Piskurozymaceae","_Solicoccozyma","_unidentified","0.7477864","Fungi",1,"_Ascomycota",0.50165645467596,"_Tremellomycetes",0.370401878016545,"_Filobasidiales",0.370401878016545,"_Piskurozymaceae",0.370401878016545,"_Solicoccozyma",0.370096050063186,"_unidentified",0.725244243945819,"0.7477864",0.144038917041186
"Bin17",0.0251157689258308,"Zotu94",0.0637371847593648,"Fungi","_Ascomycota","_Leotiomycetes","_Helotiales","_Helotiaceae","_Tetracladium","_unidentified","0.8371259","Fungi",1,"_Ascomycota",0.928230735690926,"_Leotiomycetes",0.656623134992126,"_Helotiales",0.615808078990125,"",0.359409434604497,"",0.378126981248685,"",0.425954106398863,"0.8371259",0.0637371847593648
"Bin18",0.0344838838201174,"Zotu4",0.390208394717779,"Fungi","_Ascomycota","_Leotiomycetes","_Thelebolales","_Pseudeurotiaceae","_Pseudeurotium","_unidentified","0.9743086","Fungi",1,"_Ascomycota",0.962915304320278,"_Leotiomycetes",0.940617343494066,"_Thelebolales",0.613718577544896,"_Pseudeurotiaceae",0.453311226462686,"_Pseudeurotium",0.403276917299481,"_unidentified",0.624429957012203,"0.9743086",0.390208394717779
"Bin19",0.0109438116024157,"Zotu66",0.207140399927722,"Fungi","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","0.7302796","Fungi",1,"",0.423164447143644,"",0.491300771063569,"",0.495701263336851,"",0.495701263336851,"",0.495701263336851,"",0.503720864533556,"1.0000000",0.427438459456209
"Bin20",0.00597218903276754,"Zotu338",0.0932603302590452,"Fungi","_Ascomycota","_Lecanoromycetes","_Lecanorales","_Stereocaulaceae","_Stereocaulon","","0.9992008","Fungi",1,"_Basidiomycota",0.483391973886615,"_Tremellomycetes",0.455184966230238,"",0.382132144321159,"",0.386803758593371,"",0.386803758593371,"",0.648124477658636,"1.0000000",0.261768894527768
"Bin21",0.164794481792755,"Zotu1",0.211255899692709,"Fungi","_Mortierellomycota","_Mortierellomycetes","_Mortierellales","_Mortierellaceae","_Mortierella","_Mortierella_alpina","0.9991182","Fungi",1,"_Mortierellomycota",0.939075557674631,"_Mortierellomycetes",0.939075557674631,"_Mortierellales",0.939075557674631,"_Mortierellaceae",0.932770579338388,"_Mortierella",0.917536470451898,"_Mortierella_alpina",0.420522582935375,"0.9991182",0.211255899692709
"Bin22",0.0522040878290577,"Zotu6",0.177456231092463,"Fungi","_Basidiomycota","_Agaricomycetes","_Russulales","_Russulaceae","_Russula","_Russula_romellii","0.9997659","Fungi",1,"_Basidiomycota",0.93705354216075,"_Agaricomycetes",0.93705354216075,"_Russulales",0.93705354216075,"_Russulaceae",0.93705354216075,"_Russula",0.902913586012059,"_Russula_umerensis",0.275794291029976,"0.9997659",0.177456231092463
"Bin23",0.0451170976246933,"Zotu11",0.163869134156383,"Fungi","_Basidiomycota","_Geminibasidiomycetes","_Geminibasidiales","_Geminibasidiaceae","_Geminibasidium","_unidentified","0.9991053","Fungi",1,"_Basidiomycota",0.924314629013889,"_Geminibasidiomycetes",0.778755264095418,"_Geminibasidiales",0.778755264095418,"_Geminibasidiaceae",0.720733429413959,"_Geminibasidium",0.720733429413959,"_unidentified",0.838224206193537,"0.9991053",0.163869134156383
"Bin24",0.0260549061980765,"Zotu57",0.102981486011042,"Fungi","_Basidiomycota","_Agaricomycetes","_Agaricales","_unidentified","_unidentified","_unidentified","0.7499372","Fungi",1,"_Basidiomycota",0.820905812127062,"_Agaricomycetes",0.815078229678483,"_Agaricales",0.360577048562974,"_Ceratobasidiaceae",0.257108510157744,"_unidentified",0.405284535408243,"_unidentified",0.446697400610353,"0.7499372",0.102981486011042
"Bin25",0.014181734044191,"Zotu154",0.0724166058137608,"Fungi","_Basidiomycota","_Agaricomycetes","_Thelephorales","_Thelephoraceae","_unidentified","_unidentified","0.8946662","Fungi",1,"_Basidiomycota",0.999791112616365,"_Agaricomycetes",0.999791112616365,"_Thelephorales",0.907279767870446,"_Thelephoraceae",0.907279767870446,"",0.421134878246292,"",0.508454165057478,"0.8946662",0.0724166058137608
"Bin26",0.0377496959267629,"Zotu33",0.0827512392466564,"Fungi","_Basidiomycota","_Agaricomycetes","_Agaricales","_Inocybaceae","_Inocybe","","0.9894361","Fungi",1,"_Basidiomycota",0.957724125052878,"_Agaricomycetes",0.952093845464164,"_Agaricales",0.882490770320742,"_Inocybaceae",0.315139362889754,"_Inocybe",0.310526992711116,"",0.353515667661588,"0.9894361",0.0827512392466564
