ds,n.min,index,r.cutoff,p.cutoff,Rs.spearman
0.2,48,RAsig,0.2,0.05,0
0.2,48,RAsig.adj,0.2,0.05,0
0.2,48,MeanR.sig,0.2,0.05,NA
0.2,48,MeanR,NA,NA,0.00945121837298515
0.2,48,RAsig,0.2,0.05,0
0.2,48,RAsig.adj,0.2,0.05,0
0.2,48,MeanR.sig,0.2,0.05,NA
0.2,48,MeanR,NA,NA,0.00945121837298515
0.2,48,RAsig,0.2,0.05,0.00946881103718116
0.2,48,RAsig.adj,0.2,0.05,0.00946881103718116
0.2,48,MeanR.sig,0.2,0.05,0.280390924578612
0.2,48,MeanR,NA,NA,0.0182277449880556
0.2,48,RAsig,0.2,0.05,0.00946881103718116
0.2,48,RAsig.adj,0.2,0.05,0.00946881103718116
0.2,48,MeanR.sig,0.2,0.05,0.280390924578612
0.2,48,MeanR,NA,NA,0.0182277449880556
