"Method","GroupBasedOn","Group","Index","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","bin12","bin13","bin14","bin15","bin16","bin17","bin18","bin19","bin20","bin21","bin22","bin23","bin24","bin25","bin26","bin27","bin28","bin29","bin30","bin31","bin32","bin33","bin34","bin35","bin36","bin37","bin38","bin39","bin40","bin41","bin42","bin43"
"CbMPDiCbraya","Elevation","2810","HeS","0.0231216766285643","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0741861284842369","0","0","0.0201779951117128","0","0.219534823631072","0","0","0","0","0","0","0","0.0133418325985523","0","0"
"CbMPDiCbraya","Elevation","2810","HoS","0","0","0.886845202130777","0.976893041281815","0.768464066151006","0.158028955592318","0.0689542158840659","0.00369008052586259","0.680000616576688","0","0.0810260027758291","0.0154802015204058","0.759445066087409","1","0.0220942392288757","0.224975337239528","0.0692671649106747","0.387154811774055","0.936354336449086","0.0317729761538436","0.57731205659659","0.146259210770056","0.741096237431345","0","0","0.0131595334982389","0.180805765219504","0.0320081322547271","0.172827336367058","0.0185327959059528","0.0182584102843964","0.20835940088414","0.0134053414176368","0","0.0114782655500581","0.00199621571835497","0.0147477604910857","0.298667502006022","0","0.0198777964252101","0","0.894410824001995","0.154185005728922"
"CbMPDiCbraya","Elevation","2810","DL","0","0.79986211344326","0.0523891683771227","0","0.159418108631981","0","0","0.866591249925676","0.0436276164778542","0","0.906133942904769","0.843098117593232","0","0","0","0.323963465660183","0.6039227295492","0.441138438040126","0.0276320159019756","0","0","0.800693913176422","0.258903762568655","0","0.523089731582652","0.75757417678648","0.52690190217476","0","0.663218503469384","0","0","0.68040725093512","0","0","0.614854395318516","0.739946742169678","0","0.606688171471719","0","0","0","0.093083667187163","0"
"CbMPDiCbraya","Elevation","2810","HD","0.371789426866278","0.0458248509988185","0.0115604220141623","0","0.0232518964417314","0.841971044407682","0.232487012384331","0.0328587898255477","0","0.792668517070332","0","0.103292766906372","0","0","0.977905760771124","0.377104810710259","0.130167441735683","0.00545474931015456","0.00140133904230602","0.339443880174657","0.42268794340341","0.00164215874478368","0","1","0.0550506614476166","0.0326858076974666","0.020198517470097","0.268081721690922","0.0573855676057528","0.0819474882831072","0.961563594603891","0.0356577288942865","0.395574516171682","0.114764211917421","0.118002648138801","0.0165516045633364","0.521033980259798","0.02028435995254","1","0.98012220357479","0.921466456267235","0.00281159642882367","0.681585295300601"
"CbMPDiCbraya","Elevation","2810","DR","0.605088896505158","0.154313035557921","0.0492052074779384","0.0231069587181851","0.0488659287752822","0","0.698558771731603","0.0968598797229134","0.276371766945458","0.207331482929668","0.0128400543194019","0.0381289139799904","0.240554933912591","0","0","0.0739563863900289","0.196642663804442","0.166252000875665","0.034612308606632","0.628783143671499","0","0.0514047173087372","0","0","0.421859606969731","0.196580482017814","0.272093815135639","0.625724017570114","0.106568592557805","0.89951971581094","0","0.0755756192864531","0.371485318779609","0.885235788082579","0.255664690992625","0.24150543754863","0.464218259249116","0.0743599665697188","0","0","0.0651917111342126","0.00969391238201822","0.164229698970476"
"CbMPDiCbraya","Elevation","2810","DominantProcess","DR","DL","HoS","HoS","HoS","HD","DR","DL","HoS","HD","DL","DL","HoS","HoS","HD","HD","DL","DL","HoS","DR","HoS","DL","HoS","HD","DL","DL","DL","DR","DL","DR","HD","DL","HD","DR","DL","DL","HD","DL","HD","HD","HD","HoS","HD"
"CbMPDiCbraya","Elevation","2810","DominantProcessImportance","0.605088896505158","0.79986211344326","0.886845202130777","0.976893041281815","0.768464066151006","0.841971044407682","0.698558771731603","0.866591249925676","0.680000616576688","0.792668517070332","0.906133942904769","0.843098117593232","0.759445066087409","1","0.977905760771124","0.377104810710259","0.6039227295492","0.441138438040126","0.936354336449086","0.628783143671499","0.57731205659659","0.800693913176422","0.741096237431345","1","0.523089731582652","0.75757417678648","0.52690190217476","0.625724017570114","0.663218503469384","0.89951971581094","0.961563594603891","0.68040725093512","0.395574516171682","0.885235788082579","0.614854395318516","0.739946742169678","0.521033980259798","0.606688171471719","1","0.98012220357479","0.921466456267235","0.894410824001995","0.681585295300601"
"CbMPDiCbraya","Elevation","2810","DominantProcessPvalue","0.36","0.06","0","0","0.01","0.02","0.19","0.09","0.16","0.02","0","0.11","0.03","0","0","0.44","0.23","0.51","0","0.21","0.38","0.02","0.1","0","0.39","0.36","0.17","0.1","0.14","0","0","0.35","0.54","0.01","0.36","0.09","0.47","0.54","0","0","0","0","0.01"
"CbMPDiCbraya","Elevation","1563","HeS","0","0","0","0","0.0454325202744864","0","0","0","0","0.223980384762489","0","0.189713773133555","0","0","0","0","0","0","0.0656724906012343","0","0","0","0","0","0","0","0","0","0","0","0","0.156931143544882","0","0.0671402736780396","0.0408175290963722","0","0","0.02452315389071","0","0","0.12016973592249","0.091585417421514","0"
"CbMPDiCbraya","Elevation","1563","HoS","0","0.393810963737019","0.0334083944269887","0.495314805899646","0","0.393891481108353","0.808761568549086","0.0151923089150387","0.233946725564755","0.0158351775804474","0.0814888865483714","0.0914269540125346","0.107929657521325","0.0727029985763784","0.0213497706729723","0","0","0.365632595692699","0.0724305452465282","0.0407670645442699","0.30642744375385","0","0.525992867783662","0.0330554549459467","0.108515719979947","0","0.771960456581741","0.0434942600706314","0.340874862453432","0.17572197525643","0.583422130713067","0","0.0229366871727724","0.067892649124565","0","0.0910188722372664","0.147826901368769","0.364851854278985","0.70430573032135","0.127178264267558","0.127879969519485","0.0744540596137262","0"
