"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","Elevation","2810","0.000394778104179545","0.44965839507114","0.400935366946644","0.0601509406979985","0.0888605191800375"
"CbMPDiCbraya","Elevation","1563","0.00464408788795847","0.374284634813795","0.403268151957685","0.0533672676523135","0.164435857688248"
"CbMPDiCbraya","Elevation","1090","0.0701223407383604","0.258890731777008","0.504721925211297","0.0540002546790581","0.112264747594277"
"CbMPDiCbraya","Elevation","853","0.0319571867368275","0.215372147371428","0.47953422558691","0.0570342751655231","0.216102165139312"
"CbMPDiCbraya","Elevation","4245","0.0615237171935483","0.533362851109433","0.214102710415793","0.0501914981315824","0.140819223149644"
"CbMPDiCbraya","Elevation","3900","0.00735377089668884","0.497626269240556","0.316209838063256","0.0454508853172558","0.133359236482244"
"CbMPDiCbraya","Elevation","4420","0.001587346341127","0.535456310246668","0.246733873919467","0.0641770846354723","0.152045384857266"
"CbMPDiCbraya","Elevation","3814","0.0121908866668199","0.303800043693062","0.440777768878944","0.043228296258816","0.200003004502358"
"CbMPDiCbraya","Elevation","3655","0.000633762515848116","0.727315669058651","0.169891267450355","0.0405147396435158","0.0616445613316302"
"CbMPDiCbraya","Elevation","3124","0.00359814107386963","0.540214991405857","0.314090927681204","0.0356416257165654","0.106454314122504"
"CbMPDiCbraya","Elevation","2629","0.0133868775261093","0.375236300214981","0.420635715559812","0.0698634785737816","0.120877628125316"
"CbMPDiCbraya","Elevation","2013","0.0146112813857668","0.183921323002802","0.636719491600401","0.0535759084839978","0.111171995527032"
"CbMPDiCbraya","Elevation","2810_vs_1563","0.00936636906882682","0.209785388246083","0.583714526321993","0.0401833650164903","0.156950351346607"
"CbMPDiCbraya","Elevation","2810_vs_1090","0.0406779421153994","0.150466530759691","0.630967312802222","0.0407695521265112","0.137118662196176"
"CbMPDiCbraya","Elevation","2810_vs_853","0.0245258945521715","0.12934144104782","0.62533363152722","0.0465261456586364","0.174272887214153"
"CbMPDiCbraya","Elevation","2810_vs_4245","0.0651571786744438","0.265511450280576","0.477329644882465","0.0330696167781412","0.158932109384373"
"CbMPDiCbraya","Elevation","2810_vs_3900","0.00601834727671171","0.317093479727367","0.484957754100979","0.0302820381007939","0.161648380794148"
"CbMPDiCbraya","Elevation","2810_vs_4420","0.0322595822203461","0.275758589097603","0.471914267968311","0.0275448135245441","0.192522747189195"
"CbMPDiCbraya","Elevation","2810_vs_3814","0.0151139271498426","0.215557183400991","0.544319876054669","0.0362501119808068","0.18875890141369"
