"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","L1_H0","L1_H1",0.00260809110961589,0.656438525401408,0.25262732583218,0.0178999642494171,0.0704260934073795
"CbMPDiCbraya","L1_H0","L1_H2",0.00033638236082937,0.362678539986747,0.417986561603284,0.0263959456238945,0.192602570425245
"CbMPDiCbraya","L1_H0","L1_H3",0,0.628205393572361,0.270887908222523,0.0304031068053528,0.0705035913997633
"CbMPDiCbraya","L1_H0","L1_H4",0,0.739588784076943,0.00696404072358983,0.0256904888139786,0.227756686385488
"CbMPDiCbraya","L1_H0","L1_H5",0,0.627837384180282,0.163702542250558,0.0274556617922736,0.181004411776886
"CbMPDiCbraya","L1_H0","L1_V1",0.00215609211237972,0.333410578718802,0.459318186926767,0.034797392937857,0.170317749304194
"CbMPDiCbraya","L1_H0","L1_V2",0,0.674712310454429,0.174793766617184,0.0682407927553098,0.0822531301730769
"CbMPDiCbraya","L1_H0","L1_V3",0,0.554419348614845,0.305932580322103,0.0620987027883176,0.077549368274735
"CbMPDiCbraya","L1_H0","L1_V4",0,0.489007612189802,0.331328260340141,0.02810504912058,0.151559078349476
"CbMPDiCbraya","L1_H0","L1_V5",0,0.545118039155657,0.301229741378306,0.0310457189782701,0.122606500487767
"CbMPDiCbraya","L1_H0","L10_H0",0,0.228661204493619,0.56488446920044,0.0397040281515236,0.166750298154417
"CbMPDiCbraya","L1_H0","L10_H1",0,0.232295488300831,0.573195270623783,0.0293166080365084,0.165192633038877
"CbMPDiCbraya","L1_H0","L10_H2",0,0.130265501059938,0.671540657265235,0.0432365017229556,0.154957339951871
"CbMPDiCbraya","L1_H0","L10_H3",0,0.57189315186613,0.183083950973138,0.0298745041823837,0.215148392978349
"CbMPDiCbraya","L1_H0","L10_H4",0.000538611366233433,0.356673600486693,0.467319466919977,0.0219838369816447,0.153484484245452
"CbMPDiCbraya","L1_H0","L10_H5",0.000478508095488386,0.151051094242184,0.649268741886001,0.0229951816928363,0.176206474083491
"CbMPDiCbraya","L1_H0","L10_V1",0.13116856908222,0.0637246718407205,0.424667196565659,0.0373547143303927,0.343084848181007
"CbMPDiCbraya","L1_H0","L10_V2",0,0.0685565842742552,0.624525150226406,0.0229499858807854,0.283968279618553
"CbMPDiCbraya","L1_H0","L10_V3",0.00821208562028494,0.129751494567873,0.729704167034115,0.0147034049597148,0.117628847818013
"CbMPDiCbraya","L1_H0","L10_V4",0.00505215636594351,0.274780859470457,0.530795850186154,0.0148013981530019,0.174569735824443
"CbMPDiCbraya","L1_H0","L10_V5",0.0467078843321188,0.240222329636222,0.49890150425271,0.0147669798380222,0.199401301940927
"CbMPDiCbraya","L1_H0","L11_H0",0.0162967348461304,0.140277416045034,0.675662491544244,0.00812060339279919,0.159642754171792
"CbMPDiCbraya","L1_H0","L11_H1",0.00775138535852356,0.221629682300257,0.561998836028646,0.0229661343526958,0.185653961959878
"CbMPDiCbraya","L1_H0","L11_H2",0.0173018274266054,0.214887548109135,0.535632639898555,0.0226480002696284,0.209529984296077
"CbMPDiCbraya","L1_H0","L11_H3",0.130502853240101,0.087307128913136,0.567279459218185,0.0154390949384662,0.199471463690112
"CbMPDiCbraya","L1_H0","L11_H4",0.00526060397193667,0.202399618832787,0.580265100315995,0.0173056097272518,0.194769067152029
"CbMPDiCbraya","L1_H0","L11_H5",0.110009633134879,0.1591909638984,0.551121419253075,0.0168594903433376,0.162818493370309
"CbMPDiCbraya","L1_H0","L11_V1",0.0388749008754243,0.0157431140427381,0.630189852492836,0.0797283897392519,0.235463742849749
"CbMPDiCbraya","L1_H0","L11_V2",0.0337621175755214,0.0357651264493812,0.725395776173749,0.00971210785919007,0.195364871942158
"CbMPDiCbraya","L1_H0","L11_V3",0.0160677273397786,0.0517712911183531,0.652926843951323,0.0649645632993898,0.214269574291155
"CbMPDiCbraya","L1_H0","L11_V4",0.092365670022499,0.0636003691062718,0.550028116904023,0.0477823949931158,0.24622344897409
"CbMPDiCbraya","L1_H0","L11_V5",0,0.232753383447674,0.556857585049964,0.020247958747168,0.190141072755194
