"ID","Bin","TaxonRelativeAbundance","kingdom","phylum","class","order","family","genus","species","Confidence"
"Zotu7766","Bin2",9.461394248387e-06,"Fungi","","","","","","","1.0000000"
"Zotu8694","Bin2",5.55857678145878e-06,"Fungi","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","0.7620399"
"Zotu5329","Bin2",1.1812956281756e-05,"Fungi","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","_unidentified","0.7019374"
"Zotu8733","Bin2",5.30430378951221e-06,"Fungi","_Ascomycota","","","","","","0.7073949"
"Zotu8250","Bin2",5.75716401005579e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Botryosphaeriales","_unidentified","_unidentified","_unidentified","0.9547864"
"Zotu239","Bin2",0.000772282381048702,"Fungi","","","","","","","1.0000000"
"Zotu505","Bin2",0.000326684544853705,"Fungi","","","","","","","1.0000000"
"Zotu1240","Bin2",0.000115997044370054,"Fungi","","","","","","","1.0000000"
"Zotu5579","Bin2",1.14795993987603e-05,"Fungi","","","","","","","1.0000000"
"Zotu2471","Bin2",3.77657144065987e-05,"Fungi","_Ascomycota","","","","","","0.8011670"
"Zotu543","Bin2",0.000302618567289135,"Fungi","_Ascomycota","","","","","","0.8070072"
"Zotu6560","Bin2",1.30968913670175e-05,"Fungi","_Ascomycota","_Eurotiomycetes","_Onygenales","_Onygenales_fam_Incertae_sedis","_Malbranchea","_Malbranchea_cinnamomea","0.9999994"
"Zotu5926","Bin2",1.03129107943947e-05,"Fungi","_Ascomycota","_Sordariomycetes","","","","","0.8028631"
"Zotu1274","Bin2",0.000228878396692105,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Stachybotryaceae","_Striaticonidium","_Striaticonidium_humicola","0.9973759"
"Zotu2407","Bin2",4.05307128467777e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Stachybotryaceae","_Striaticonidium","_Striaticonidium_humicola","0.7948942"
"Zotu4715","Bin2",1.52448737806083e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Stachybotryaceae","_Striaticonidium","_Striaticonidium_humicola","0.7849841"
