"lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"Bac_richness","~","pH",0,0.230954334884864,0.0816898304334215,2.82721035971663,0.0046955471284047,0.230954334884864,0.230954334884864,0.231834164108587
"Bac_richness","~","Temp.",0,0.46571903397627,0.0698267537414665,6.66963604953761,2.56439314227919e-11,0.46571903397627,0.46571903397627,0.46749320814945
"Bac_richness","~","NH4",0,-0.301556630984659,0.0966769517967287,-3.11921947662051,0.00181330836096771,-0.301556630984659,-0.301556630984659,-0.302705422310356
"Bac_richness","~","TN",0,0.634147198093254,0.105339328297782,6.02004216602364,1.74371650452088e-09,0.634147198093254,0.634147198093254,0.636563005691336
"DL","~","Bac_richness",0,-0.19226684178279,0.0887926541165928,-2.16534626310783,0.0303611779702497,-0.19226684178279,-0.19226684178279,-0.19226684178279
"DL","~","NH4",0,0.314381399931013,0.0782823759704326,4.01599205483691,5.9196249921234e-05,0.314381399931013,0.314381399931013,0.315579047696284
"DL","~","Temp.",0,0.503626723124594,0.0906741506538058,5.55424803533526,2.7880935560276e-08,0.503626723124594,0.503626723124594,0.505545308065094
"HD","~","NO3",0,-0.33129514906342,0.0742547285130553,-4.46160339816167,8.13486781714445e-06,-0.33129514906342,-0.33129514906342,-0.332557230392048
"HD","~","Temp.",0,-0.405803508078917,0.0742547285130554,-5.4650190796613,4.62857017158314e-08,-0.405803508078917,-0.405803508078917,-0.407349431803083
"Rs","~","DL",0,-0.293601074100422,0.0768093446377942,-3.82246555396275,0.000132123939810658,-0.293601074100422,-0.276843742029888,-0.276843742029888
"Rs","~","HD",0,-0.444225882093345,0.0795135121772267,-5.58679738738261,2.31295309571777e-08,-0.444225882093345,-0.418871613062239,-0.418871613062239
"Rs","~","TN",0,0.347165624256068,0.07498189121228,4.6299929041962,3.65678263691827e-06,0.347165624256068,0.327351086223611,0.328598142496535
"Rs","~","Temp.",0,0.208075575713232,0.091251675993562,2.2802384005299,0.0225935529818013,0.208075575713232,0.196199626251271,0.196947056105513
"Rs","~","Water_content",0,0.220119148431364,0.0803834314496783,2.73836466622059,0.0061745567616156,0.220119148431364,0.207555809974074,0.208346501637255
"Bac_richness","~~","Bac_richness",0,0.575348886200155,0.0708205522356755,8.12403840463597,4.44089209850063e-16,0.575348886200155,0.579740862430691,0.579740862430691
"DL","~~","DL",0,0.763596886708892,0.0939922792921742,8.12403840463596,4.44089209850063e-16,0.763596886708892,0.769425870576898,0.769425870576898
"HD","~~","HD",0,0.722254771681782,0.088903416713248,8.12403840463598,4.44089209850063e-16,0.722254771681782,0.72776816688546,0.72776816688546
"Rs","~~","Rs",0,0.661891566001827,0.0814732197258102,8.12403840463597,4.44089209850063e-16,0.661891566001827,0.592984886251212,0.592984886251212
"pH","~~","pH",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"pH","~~","Temp.",1,0.272334079486769,0,NA,NA,0.272334079486769,0.274412965589722,0.272334079486769
"pH","~~","NH4",1,-0.396656509691117,0,NA,NA,-0.396656509691117,-0.399684421978835,-0.396656509691117
"pH","~~","TN",1,-0.54386100708792,0,NA,NA,-0.54386100708792,-0.54801261782905,-0.54386100708792
"pH","~~","NO3",1,-0.337235189852254,0,NA,NA,-0.337235189852254,-0.339809504278607,-0.337235189852254
"pH","~~","Water_content",1,-0.0748792293796912,0,NA,NA,-0.0748792293796912,-0.0754508265505286,-0.0748792293796912
"Temp.","~~","Temp.",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"Temp.","~~","NH4",1,-0.203685117613847,0,NA,NA,-0.203685117613847,-0.205239965839907,-0.203685117613847
"Temp.","~~","TN",1,-0.133882185626753,0,NA,NA,-0.133882185626753,-0.134904187043751,-0.133882185626753
"Temp.","~~","NO3",1,-0.00812422902397542,0,NA,NA,-0.00812422902397542,-0.00818624603942562,-0.00812422902397542
"Temp.","~~","Water_content",1,-0.448979818517878,0,NA,NA,-0.448979818517878,-0.452407145376793,-0.448979818517878
"NH4","~~","NH4",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"NH4","~~","TN",1,0.714096226598999,0,NA,NA,0.714096226598999,0.719547342832579,0.714096226598999
"NH4","~~","NO3",1,0.495739099726323,0,NA,NA,0.495739099726323,0.499523367663165,0.495739099726323
"NH4","~~","Water_content",1,0.147800567670432,0,NA,NA,0.147800567670432,0.148928816278603,0.147800567670432
"TN","~~","TN",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"TN","~~","NO3",1,0.577763020630354,0,NA,NA,0.577763020630354,0.582173425367991,0.577763020630354
"TN","~~","Water_content",1,0.17146813502992,0,NA,NA,0.17146813502992,0.172777052091217,0.17146813502992
"NO3","~~","NO3",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"NO3","~~","Water_content",1,0.125612004448058,0,NA,NA,0.125612004448058,0.12657087471102,0.125612004448058
"Water_content","~~","Water_content",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
