"","result.fit"
"npar",18
"fmin",0.200855601718917
"chisq",53.0258788537941
"df",16
"pvalue",7.47249196053623e-06
"baseline.chisq",254.99992329869
"baseline.df",30
"baseline.pvalue",0
"cfi",0.835440482330112
"tli",0.69145090436896
"logl",-646.204909071921
"unrestricted.logl",-619.691969645024
"aic",1328.40981814384
"bic",1380.3002527504
"ntotal",132
"bic2",1323.3659655967
"rmsea",0.132405410157996
"rmsea.ci.lower",0.0939470978502223
"rmsea.ci.upper",0.172727473141578
"rmsea.ci.level",0.9
"rmsea.pvalue",0.000520377504532488
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.985758257726708
"rmsea.notclose.h0",0.08
"srmr",0.0755534314590765
