	kingdom	phylum	class	order	family	genus	species	Confidence
Zotu1	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.999118241
Zotu2	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_elongata	0.988726582
Zotu3	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Gibberella	_Gibberella_acuminata	0.99585838
Zotu4	Fungi	_Ascomycota	_Leotiomycetes	_Thelebolales	_Pseudeurotiaceae	_Pseudeurotium	_unidentified	0.974308618
Zotu5	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_sarnyensis	0.998986852
Zotu6	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_romellii	0.9997659
Zotu7	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_unidentified	0.993234302
Zotu8	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_unidentified	0.993319744
Zotu9	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_umerensis	0.891748893
Zotu10	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_elongata	0.995098422
Zotu11	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999105298
Zotu12	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Aspergillaceae	_Penicillium		0.999021059
Zotu13	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.996006544
Zotu14	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Clavulinaceae	_Clavulina	_Clavulina_thindii	0.997676929
Zotu15	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_umerensis	0.807212253
Zotu16	Fungi	_Basidiomycota	_Agaricomycetes	_Russulales	_Russulaceae	_Russula	_Russula_mediterraneensis	0.99735284
Zotu17	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Nectriaceae	_Fusarium		0.967520521
Zotu18	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999943467
Zotu19	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999612619
Zotu20	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella		0.999991591
Zotu21	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.993518403
Zotu22	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Hygrophoraceae	_Hygrocybe	_Hygrocybe_acutoconica	0.999980194
Zotu23	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.999131499
Zotu24	Fungi	_Ascomycota	_Leotiomycetes					0.945563232
Zotu25	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Stachybotryaceae			0.9999997
Zotu26	Fungi	_Basidiomycota	_Tremellomycetes	_Filobasidiales	_Piskurozymaceae	_Solicoccozyma	_unidentified	0.747786351
Zotu27	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Clavariaceae	_Clavaria	_Clavaria_fumosa	0.999978998
Zotu28	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Clavulinaceae	_Clavulina	_Clavulina_coralloides	0.996164978
Zotu29	Fungi	_Basidiomycota	_Geminibasidiomycetes	_Geminibasidiales	_Geminibasidiaceae	_Geminibasidium	_unidentified	0.999754842
Zotu30	Fungi	_Ascomycota	_Leotiomycetes	_Thelebolales	_unidentified	_unidentified	_unidentified	0.842336523
Zotu31	Fungi	_Mortierellomycota	_Mortierellomycetes	_Mortierellales	_Mortierellaceae	_Mortierella	_Mortierella_alpina	0.906588984
Zotu32	Fungi	_Ascomycota	_Eurotiomycetes	_Eurotiales	_Trichocomaceae	_Talaromyces	_Talaromyces_verruculosus	0.849604126
