	kingdom	phylum	class	order	family	genus	species
Otu1	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
Otu2	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongata
Otu3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_acuminata
Otu4	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pseudeurotium	unidentified
Otu5	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_sarnyensis
Otu6	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_romellii
Otu7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	unidentified
Otu8	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_umerensis
Otu9	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	unidentified
Otu10	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
Otu11	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina_thindii
Otu12	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_mediterraneensis
Otu13	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	
Otu14	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
Otu15	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe_acutoconica
Otu16	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_alpina
Otu17	Fungi	Ascomycota	Leotiomycetes				
Otu18	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae		
Otu19	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	unidentified
Otu20	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria_fumosa
Otu21	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Clavulinaceae	Clavulina	Clavulina_coralloides
Otu22	Fungi	Ascomycota	Leotiomycetes	Thelebolales	unidentified	unidentified	unidentified
Otu23	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_verruculosus
Otu24	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	
Otu25	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_hyalina
Otu26	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	
Otu27	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	unidentified	unidentified
Otu28	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Castanediella	
Otu29	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	unidentified
Otu30	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
Otu31	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Paraboeremia	Paraboeremia_selaginellae
Otu32	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	unidentified
Otu33	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	unidentified
Otu34	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_pascua
Otu35	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Thyrostroma	
Otu36	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	unidentified
Otu37	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_perangustum
Otu38	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales			
Otu39	Fungi						
Otu40	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
