"","Rs","NH4","pH","SOC","TN","NO3","Water_content","Temp.","Plot","Date","Location","Ecosystem_type","Lat.","Lon.","Elevation","Samples_per_plot","Cord.","Cond.","v_axis","h_axis","Sample_ID","Bac_shannon","Bac_richness","Bac_PD","Bac_disper","Fug_shannon","Fug_richness","Fug_PD","Fug_disper"
"L1_H0",1.84,12.45,7.16,5.6393325,0.1911693,17.375,21.684,16.45,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,0,"L1_H0",7.65881454048959,7328,254.790192531,0.390798434278561,4.28016633941783,881,170.970893476,0.505899892287024
"L1_H1",2.33,11.325,6.52,6.9107652,0.2150201,10.59,22.813,16.37,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,5,"L1_H1",7.11070131907095,6503,240.820642984,0.445869765368231,3.21533094976444,474,91.5822935485,0.598578978201581
"L1_H2",1.15,15.175,6.65,4.2596679,0.3346435,8.73,21.668,16.25,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,10,"L1_H2",7.96834701405392,8400,279.384333452,0.395559270415272,2.68084406603134,747,124.2537802685,0.485291730326292
"L1_H3",0.54,18.825,6.67,3.9587901,0.2054392,16.79,23.45,16.13,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,25,"L1_H3",7.86319140709533,8438,271.93613814,0.414408261224498,4.49897888723079,1010,151.1603118745,0.503016514639883
"L1_H4",1.79,10.55,6.62,5.3584905,0.2261701,15.535,22.829,15.62,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,50,"L1_H4",7.62402121231924,7561,257.59943161,0.451513247301939,1.87388547761661,653,123.2071924805,0.630744983617696
"L1_H5",1.49,8.775,6.61,8.7045006,0.1674277,16.415,23.825,16.5,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,0,100,"L1_H5",7.64410535277608,6693,233.839549832,0.651514887863977,3.13151356429505,727,145.6209274625,0.731152443772819
"L1_V1",2.01,22.575,6.37,9.2616008,0.4643853,7.455,23.713,16.42,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,5,0,"L1_V1",7.1112666138543,6402,227.686360312,0.476045969024742,2.53785486490556,613,96.3218865455,0.52598426112398
"L1_V2",1.66,15.2,6.38,7.017101,0.2156413,16.735,24.789,16.87,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,10,0,"L1_V2",6.74924394101506,6261,230.765090103,0.464012359536866,3.93177772933856,852,152.4126175455,0.452057354983003
"L1_V3",1.05,13.975,6.32,3.774663,0.1526914,17.175,24.013,16.5,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,25,0,"L1_V3",7.10928096382775,6720,247.462895726,0.43863819388297,3.5801648351712,803,153.1814239155,0.468686097265291
"L1_V4",2.13,9.65,6.42,6.5052919,0.3405525,2.28,23.911,16.31,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,50,0,"L1_V4",7.51191105152301,7191,250.082786661,0.55183797777174,4.06520280543993,816,131.3385397455,0.555921629725477
"L1_V5",0.95,8.425,6.77,9.9955899,0.1765589,15.85,24.423,16.53,"L1","2019.07.11","Baima Village, Deqin County, Diqing Tibetan Autonomous Prefecture, Yunnan Province","Mixed forest",28.27166667,99.257,2810,11,"99.257E 28.2716666666667N",NA,100,0,"L1_V5",7.58771224507512,7609,259.262844907,0.415639525696944,3.81168694331155,731,115.3190053785,0.617405231121007
"L10_H0",3.86,5.975,6.56,8.6375081,0.384087,19.67,20.3,30.4,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1078,0,0,"L10_H0",8.27891931260375,8932,291.0408300735,0.366565669750769,2.2594943312582,844,151.8331364575,0.51363870046045
"L10_H1",1.97,4.325,6.49,8.3033977,0.3741607,14.51,17.9,29.3,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",953,0,5,"L10_H1",8.29007396800594,8247,294.648270437,0.486294942149522,2.79251635376413,829,148.5087912485,0.687897661884002
"L10_H2",0.95,9.775,6.61,6.8609802,0.3128262,7.505,22.2,29.1,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",184,0,10,"L10_H2",8.2248699690633,8756,290.163626268,0.356776918087623,1.83246410365289,673,135.6172858965,0.54518367777606
"L10_H3",1.21,5,6.59,7.5679545,0.3734098,14.43,21.1,30.6,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1122,0,25,"L10_H3",8.48237068665633,9867,307.491655182,0.411424348139797,1.28676486502918,682,125.4320288315,0.62406623637549
"L10_H4",1.7,13.4,6.52,10.460597,0.5093926,8.835,15.2,33.2,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",822,0,50,"L10_H4",8.15690074045627,8047,280.88491045,0.388609030999691,4.4800684153361,1077,188.6750730915,0.542914071305377
"L10_H5",2.6,9.375,6.49,8.0610162,0.3464686,7.145,23.3,33.9,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1243,0,100,"L10_H5",8.32896809326456,8843,297.306793312,0.395723287067078,5.00603141174645,1149,213.2457851225,0.593361140477113
"L10_V1",2.81,9.15,6.34,13.250547,0.5123408,27.755,15.4,31.2,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",831,5,0,"L10_V1",8.17985180186294,9209,295.123621952,0.337226890156926,3.13686374490292,943,188.185033788,0.498797581848941
"L10_V2",3.55,6.025,6.48,10.254399,0.4284353,31.32,20.5,30.4,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",1092,10,0,"L10_V2",8.07545465428979,8736,277.717875061,0.43255629874268,4.67519772743612,1229,212.5971655025,0.535649498239633
"L10_V3",2.57,5.375,6.68,8.7450628,0.3939445,21.975,11.2,30.7,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",641,25,0,"L10_V3",8.1327186403228,8383,278.773562936,0.429146139269825,4.58466896512673,1068,190.4413336495,0.465375051495411
"L10_V4",2.16,4.825,6.48,11.117381,0.3610473,23.975,15.4,31.2,"L10","2019.07.19","Bingzhongluo, Dulong Nationality, Gongshan, Nujiang Lisu Autonomous Prefecture, Yunnan Province","Mixed forest",28.09033333,98.61533333,1563,11,"98.6153333333333E 28.0903333333333N",833,50,0,"L10_V4",8.40752797627392,9696,291.663293498,0.495003360512851,4.67426853730513,1312,214.8031061665,0.560758263532197
