ds,n.min,binID,Rs.spearman.r,Rs.spearman.p,abu
0.2,48,bin5,-0.00157581421505085,0.51,0.00170217548744968
0.2,48,bin1,0.073029861957822,0.088,0.00289215380395733
0.2,48,bin2,0.0219352268522084,0.265,0.00230708536413666
0.2,48,bin3,0.0367122914203213,0.209,0.000933257212303815
0.2,48,bin4,0.219995992086799,0.008,0.000674379029789055
0.2,48,bin220,-0.00467107549623231,0.542,0.00253338162361439
0.2,48,bin6,0.0977248433822035,0.009,0.00191315765711667
0.2,48,bin18,0.0350608804042187,0.164,0.00129629983089622
0.2,48,bin7,0.0322320681813933,0.168,0.00272250489687248
0.2,48,bin8,-0.0214073751600108,0.727,0.0111263891615904
0.2,48,bin9,0.155874218948094,0.001,0.00325795134437741
0.2,48,bin10,-0.0791494537348209,1,0.00257685404447597
0.2,48,bin11,0.0275678875853051,0.228,0.00605236768336746
0.2,48,bin14,0.0384897814767984,0.115,0.00156499497012281
0.2,48,bin12,0.0119614825708972,0.428,0.00105189176026162
0.2,48,bin13,0.0189584305257037,0.252,0.0019768907478242
0.2,48,bin15,0.00348607125633851,0.43,0.00137947370637481
0.2,48,bin17,0.177836069565892,0.001,0.00126185096470825
0.2,48,bin16,-0.00749961041109093,0.639,0.00352023114021587
0.2,48,bin19,0.0650565304050163,0.011,0.00181673248373343
0.2,48,bin20,0.0713201587252534,0.048,0.00145833249088186
0.2,48,bin21,0.0359692101475346,0.194,0.00248059904725524
0.2,48,bin22,0.0447066092331202,0.025,0.00827606655022282
0.2,48,bin23,0.0482931626198098,0.166,0.00220287695750839
0.2,48,bin26,-0.0307259825096753,0.782,0.00200936339583656
0.2,48,bin24,0.0126744181588722,0.34,0.00132423400601489
0.2,48,bin25,-0.0623998851245883,0.914,0.00133784961713215
0.2,48,bin27,0.159314635815699,0.006,0.0011818336926922
0.2,48,bin29,0.273924361728775,0.001,0.0132656029654924
0.2,48,bin28,0.0473000007312263,0.15,0.00557798920719089
