ds,n.min,index,r.cutoff,p.cutoff,Rs.spearman
0.2,48,RAsig,0.2,0.05,0.0697683708178894
0.2,48,RAsig.adj,0.2,0.05,0.0697683708178894
0.2,48,MeanR.sig,0.2,0.05,0.25705791478832
0.2,48,MeanR,NA,NA,0.0597565309643674
0.2,48,RAsig,0.2,0.05,0.0697683708178894
0.2,48,RAsig.adj,0.2,0.05,0.0697683708178894
0.2,48,MeanR.sig,0.2,0.05,0.25705791478832
0.2,48,MeanR,NA,NA,0.0597565309643674
0.2,48,RAsig,0.2,0.05,0.0522880978483703
0.2,48,RAsig.adj,0.2,0.05,0.0522880978483703
0.2,48,MeanR.sig,0.2,0.05,0.281931427202166
0.2,48,MeanR,NA,NA,0.0666269067395899
0.2,48,RAsig,0.2,0.05,0.0522880978483703
0.2,48,RAsig.adj,0.2,0.05,0.0522880978483703
0.2,48,MeanR.sig,0.2,0.05,0.281931427202166
0.2,48,MeanR,NA,NA,0.0666269067395899
