"Method","GroupBasedOn","Group","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","Elevation","2810","0.00869112617131486","0.422148804309139","0.25402828788569","0.0966312399917997","0.218500541642057"
"CbMPDiCbraya","Elevation","1563","0.0244977676823683","0.433271861820696","0.277873342663842","0.0893085297926477","0.175048498040446"
"CbMPDiCbraya","Elevation","1090","0.0146054571564802","0.450818370985788","0.258740493537827","0.0958164997393024","0.180019178580603"
"CbMPDiCbraya","Elevation","853","0.0155622299843174","0.488080785912833","0.203782071031937","0.0931769576407183","0.199397955430195"
"CbMPDiCbraya","Elevation","4245","0.00958395208959382","0.481551361760644","0.207211342578607","0.114752865090423","0.186900478480732"
"CbMPDiCbraya","Elevation","3900","0.00696147516818787","0.427261601123421","0.223866159965531","0.110122292742593","0.231788471000266"
"CbMPDiCbraya","Elevation","4420","0.00394407227010305","0.440246737215054","0.157614986877872","0.145756964485317","0.252437239151654"
"CbMPDiCbraya","Elevation","3814","0.0205072415360514","0.349869704639042","0.306021949438579","0.110166704310125","0.213434400076202"
"CbMPDiCbraya","Elevation","3655","0.00742560745992969","0.439795531873535","0.217597801133271","0.0932823302566639","0.2418987292766"
"CbMPDiCbraya","Elevation","3124","0.0127931736053035","0.430803661950315","0.246685936868867","0.0753591977917392","0.234358029783775"
"CbMPDiCbraya","Elevation","2629","0.0196095319807754","0.370696141376999","0.316400710160735","0.0843469267085848","0.208946689772905"
"CbMPDiCbraya","Elevation","2013","0.0184248483818443","0.436726970893735","0.292456388740875","0.109174353578652","0.143217438404893"
"CbMPDiCbraya","Elevation","2810_vs_1563","0.0335404775502325","0.356331120118152","0.353141725842564","0.0555507129822462","0.201435963506805"
"CbMPDiCbraya","Elevation","2810_vs_1090","0.0197428180890484","0.378703613021858","0.336664971122402","0.0539253762977829","0.210963221468909"
"CbMPDiCbraya","Elevation","2810_vs_853","0.0199271124183418","0.409679673812989","0.310336586947538","0.0486961850789581","0.211360441742173"
"CbMPDiCbraya","Elevation","2810_vs_4245","0.0193603414245961","0.35465957356691","0.351770607943329","0.0653966971039779","0.208812779961188"
"CbMPDiCbraya","Elevation","2810_vs_3900","0.0109110965943171","0.379583201991946","0.320605157855111","0.0581686170411894","0.230731926517437"
"CbMPDiCbraya","Elevation","2810_vs_4420","0.0146992207264943","0.362523206541898","0.309619647097956","0.0639479598012406","0.249209965832411"
"CbMPDiCbraya","Elevation","2810_vs_3814","0.0162499449518262","0.326488410009522","0.364155168216882","0.0640286644542752","0.229077812367494"
"CbMPDiCbraya","Elevation","2810_vs_3655","0.0102110161837279","0.407248679480199","0.275487305523838","0.0737516659883374","0.233301332823898"
"CbMPDiCbraya","Elevation","2810_vs_3124","0.0104010395192444","0.397253854099012","0.299650373903998","0.0689950995978863","0.223699632879859"
"CbMPDiCbraya","Elevation","2810_vs_2629","0.0247437864177794","0.351950669772022","0.342273676294028","0.0612387384596877","0.219793129056483"
"CbMPDiCbraya","Elevation","2810_vs_2013","0.047617484818433","0.327248534611988","0.383208155358551","0.0568270340639845","0.185098791147044"
"CbMPDiCbraya","Elevation","1563_vs_1090","0.0258671294755486","0.399820585501806","0.352837544479847","0.0636033410458173","0.157871399496981"
"CbMPDiCbraya","Elevation","1563_vs_853","0.0333102324695894","0.409296720977046","0.333404995320243","0.0538154018323155","0.170172649400807"
"CbMPDiCbraya","Elevation","1563_vs_4245","0.0666749021034509","0.263476677539907","0.424476545944852","0.0453735718155163","0.199998302596274"
"CbMPDiCbraya","Elevation","1563_vs_3900","0.0371462403177048","0.328185087894295","0.39159400907712","0.0382954762723952","0.204779186438485"
"CbMPDiCbraya","Elevation","1563_vs_4420","0.0426161804348332","0.331152727944298","0.380298228139999","0.0381237787035052","0.207809084777364"
"CbMPDiCbraya","Elevation","1563_vs_3814","0.0408564237421753","0.304917583217745","0.41918842174748","0.0538201979347404","0.18121737335786"
"CbMPDiCbraya","Elevation","1563_vs_3655","0.0309709779361101","0.365148522848313","0.364614428561448","0.0392345463137959","0.200031524340333"
"CbMPDiCbraya","Elevation","1563_vs_3124","0.0337216150619044","0.350114212472661","0.377662665052776","0.0393682974590574","0.199133209953601"
"CbMPDiCbraya","Elevation","1563_vs_2629","0.0405766530646069","0.342556295813012","0.386966815991677","0.0541497236979995","0.175750511432705"
"CbMPDiCbraya","Elevation","1563_vs_2013","0.0804659562087775","0.27452077399485","0.422681103554088","0.0464671990370538","0.17586496720523"
"CbMPDiCbraya","Elevation","1090_vs_853","0.0213384945808328","0.409997238238812","0.3290462344676","0.0651436312782993","0.174474401434456"
"CbMPDiCbraya","Elevation","1090_vs_4245","0.0327235294083704","0.378655483425863","0.351906603823136","0.0570375901978697","0.17967679314476"
"CbMPDiCbraya","Elevation","1090_vs_3900","0.0341256596250718","0.317567813389281","0.419917690912392","0.0366653578433129","0.191723478229942"
"CbMPDiCbraya","Elevation","1090_vs_4420","0.0296626973587596","0.361996275251808","0.367280294172345","0.0453859551996741","0.195674778017414"
"CbMPDiCbraya","Elevation","1090_vs_3814","0.0244141009241145","0.346828795136158","0.389138975496596","0.0565198883220258","0.183098240121105"
