"","result.fit"
"npar",19
"fmin",0.0597049011990975
"chisq",15.7620939165618
"df",15
"pvalue",0.398036881253521
"baseline.chisq",327.545172641661
"baseline.df",30
"baseline.pvalue",0
"cfi",0.997438728681781
"tli",0.994877457363561
"logl",-591.30039193182
"unrestricted.logl",-583.419344973539
"aic",1220.60078386364
"bic",1275.37402039278
"ntotal",132
"bic2",1215.2767172861
"rmsea",0.0196187644222421
"rmsea.ci.lower",0
"rmsea.ci.upper",0.0857185343781982
"rmsea.ci.level",0.9
"rmsea.pvalue",0.699010987028305
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.0736554555695245
"rmsea.notclose.h0",0.08
"srmr",0.0281282298928315
