"lhs","op","rhs","exo","est","se","z","pvalue","std.lv","std.all","std.nox"
"Fug_disper","~","SOC",0,0.512494429921189,0.09793711708548,5.2328927496802,1.66877575757951e-07,0.512494429921189,0.512494429921189,0.514446796724198
"Fug_disper","~","Temp.",0,0.140782684427147,0.0814608156698645,1.72822581347203,0.0839477475013286,0.140782684427147,0.140782684427147,0.141319001357569
"Fug_disper","~","pH",0,0.316736743683768,0.101596704862121,3.11758874575328,0.00182337041268421,0.316736743683768,0.316736743683768,0.317943364219637
"DL","~","NO3",0,-0.185247453079621,0.0632651496473014,-2.9281121456657,0.00341027016049034,-0.185247453079621,-0.184528106956197,-0.185231073718779
"DL","~","Temp.",0,0.478210437852746,0.0615512992440145,7.76929884058052,7.99360577730113e-15,0.478210437852746,0.476353468599286,0.478168155051068
"DL","~","Fug_disper",0,0.371455397008244,0.0603582002165178,6.15418279000624,7.54656115375951e-10,0.371455397008244,0.370012975018517,0.370012975018517
"DL","~","pH",0,0.190915741700046,0.0646229833804074,2.95430095785284,0.00313378231588213,0.190915741700046,0.190174384685903,0.190898861155824
"Rs","~","Fug_disper",0,0.275883534982927,0.0892086183718681,3.09256594282068,0.00198434141325188,0.275883534982927,0.273027964479963,0.273027964479963
"Rs","~","TN",0,0.270306078487706,0.0815430792106275,3.31488681938905,0.000916802365711344,0.270306078487706,0.267508238215909,0.268527320908972
"Rs","~","Temp.",0,0.436555503080399,0.100738112067752,4.33356843919003,1.46711642938779e-05,0.436555503080399,0.432036875255873,0.433682735978798
"Rs","~","DL",0,-0.37044636278331,0.105320174168086,-3.51733526562628,0.000435902826964263,-0.37044636278331,-0.368041170706282,-0.368041170706282
"Rs","~","Water_content",0,0.197078209024412,0.0838582372866709,2.35013536417057,0.0187665848686387,0.197078209024412,0.19503832389498,0.195781329724225
"Fug_disper","~~","Fug_disper",0,0.791660037464227,0.0974466143602261,8.12403840463596,4.44089209850063e-16,0.791660037464227,0.797703243857084,0.797703243857084
"DL","~~","DL",0,0.441606056454872,0.0543579479145337,8.12403840463594,4.44089209850063e-16,0.441606056454872,0.441527967336217,0.441527967336217
"Rs","~~","Rs",0,0.716829394534419,0.088235598951054,8.12403840463596,4.44089209850063e-16,0.716829394534419,0.707426199308936,0.707426199308936
"SOC","~~","SOC",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"SOC","~~","Temp.",1,-0.0695089600537047,0,NA,NA,-0.0695089600537047,-0.0700395628022063,-0.0695089600537047
"SOC","~~","pH",1,-0.595670669295602,0,NA,NA,-0.595670669295602,-0.60021777364137,-0.595670669295602
"SOC","~~","NO3",1,0.563887071406614,0,NA,NA,0.563887071406614,0.568191552867734,0.563887071406614
"SOC","~~","TN",1,0.858161817625899,0,NA,NA,0.858161817625899,0.864712671195562,0.858161817625899
"SOC","~~","Water_content",1,0.182523709923159,0,NA,NA,0.182523709923159,0.183917020685931,0.182523709923159
"Temp.","~~","Temp.",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"Temp.","~~","pH",1,0.272334079486769,0,NA,NA,0.272334079486769,0.274412965589722,0.272334079486769
"Temp.","~~","NO3",1,-0.00812422902397542,0,NA,NA,-0.00812422902397542,-0.00818624603942562,-0.00812422902397542
"Temp.","~~","TN",1,-0.133882185626753,0,NA,NA,-0.133882185626753,-0.134904187043751,-0.133882185626753
"Temp.","~~","Water_content",1,-0.448979818517878,0,NA,NA,-0.448979818517878,-0.452407145376793,-0.448979818517878
"pH","~~","pH",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"pH","~~","NO3",1,-0.337235189852254,0,NA,NA,-0.337235189852254,-0.339809504278607,-0.337235189852254
"pH","~~","TN",1,-0.54386100708792,0,NA,NA,-0.54386100708792,-0.54801261782905,-0.54386100708792
"pH","~~","Water_content",1,-0.0748792293796912,0,NA,NA,-0.0748792293796912,-0.0754508265505286,-0.0748792293796912
"NO3","~~","NO3",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"NO3","~~","TN",1,0.577763020630354,0,NA,NA,0.577763020630354,0.58217342536799,0.577763020630354
"NO3","~~","Water_content",1,0.125612004448058,0,NA,NA,0.125612004448058,0.12657087471102,0.125612004448058
"TN","~~","TN",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
"TN","~~","Water_content",1,0.17146813502992,0,NA,NA,0.17146813502992,0.172777052091217,0.17146813502992
"Water_content","~~","Water_content",1,0.992424242424242,0,NA,NA,0.992424242424242,1,0.992424242424242
