"","result.fit"
"npar",13
"fmin",0.0123745723071593
"chisq",3.26688708909006
"df",5
"pvalue",0.658914941829934
"baseline.chisq",164.463600307331
"baseline.df",15
"baseline.pvalue",0
"cfi",1
"tli",1.03478665522601
"logl",-479.795591861657
"unrestricted.logl",-478.162148317112
"aic",985.591183723313
"bic",1023.06760871694
"ntotal",132
"bic2",981.948401328152
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0.0963705745201011
"rmsea.ci.level",0.9
"rmsea.pvalue",0.792025154578873
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.0928578762389959
"rmsea.notclose.h0",0.08
"srmr",0.0163647912233392
